season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta
2014-15,21401195,DET,CHA,1,0.0,0,1.0,1.0,0.0,3.0000000000000004,0.2,1.5155038759689887,0.11627906976744184
2014-15,21401193,MIL,BKN,1,0.0,0,1.0,1.0,0.0,-7.3,-0.30000000000000004,1.8961696306429587,0.07142857142857151
2014-15,21401200,SAS,PHX,1,0.0,0,1.0,1.0,0.0,26.8,0.8,5.137931034482762,0.3356236786469345
2014-15,21401197,IND,OKC,1,0.0,0,1.0,1.0,0.0,6.800000000000001,0.19999999999999996,-0.744186046511615,0.16666666666666674
2014-15,21401196,DEN,SAC,1,0.0,0,1.0,1.0,0.0,1.0,0.0,-0.08473670141674461,0.19656699889258028
2014-15,21401198,WAS,ATL,1,0.0,0,1.0,1.0,0.0,-11.3,-0.19999999999999996,-5.041031809676554,0.053911205073995716
2014-15,21401199,HOU,NOP,1,0.0,0,1.0,1.0,0.0,0.09999999999999964,0.09999999999999998,1.616680032076971,0.31561461794019935
2014-15,21401201,LAL,DAL,0,0.0,0,1.0,1.0,0.0,-6.4,-0.10000000000000003,-9.666666666666657,-0.23899059871350814
2014-15,21401192,GSW,MIN,1,0.0,1,1.0,0.0,1.0,20.9,0.7000000000000001,17.65931569099172,0.7239467849223946
2014-15,21401190,LAC,MEM,1,0.0,1,3.0,0.0,3.0,11.100000000000001,0.30000000000000004,2.011494252873547,0.12367864693446085
2014-15,21401189,CHI,PHI,1,0.0,0,1.0,2.0,-1.0,14.0,0.5,11.287356321839084,0.5
2014-15,21401187,ORL,NYK,0,1.0,1,0.0,0.0,0.0,9.9,0.30000000000000004,3.7225340817963115,0.17811839323467227
2014-15,21401188,MIA,TOR,0,0.0,1,1.0,0.0,1.0,-11.2,-0.3,-5.931034482758619,-0.09147286821705425
2014-15,21401191,POR,UTA,0,0.0,1,1.0,0.0,1.0,4.4,0.19999999999999996,3.9768778401496974,0.3588794926004228
2014-15,21401177,BKN,WAS,1,0.0,0,1.0,1.0,0.0,-0.30000000000000004,0.19999999999999996,-3.500830564784053,0.02380952380952378
2014-15,21401176,ATL,CHA,1,0.0,0,1.0,1.0,0.0,8.0,0.3,7.771545827633361,0.49999999999999994
2014-15,21401182,NOP,PHX,1,0.0,0,1.0,1.0,0.0,5.3999999999999995,0.2,0.9091655266757925,0.2325581395348837
2014-15,21401183,OKC,SAC,1,0.0,0,2.0,1.0,1.0,-1.8,0.0,4.258823529411757,0.38925802879291255
2014-15,21401186,LAL,MIN,1,0.0,0,1.0,1.0,0.0,-0.6999999999999993,0.1,0.3761969904240914,0.07178968655207282
2014-15,21401184,DEN,DAL,0,0.0,0,1.0,1.0,0.0,-1.2000000000000002,-0.10000000000000003,-6.627906976744185,-0.08420441347270619
2014-15,21401181,HOU,SAS,0,0.0,0,1.0,1.0,0.0,-15.799999999999999,-0.20000000000000007,-2.279069767441868,0.25027685492801766
2014-15,21401185,UTA,MEM,0,0.0,0,1.0,1.0,0.0,-1.4,-0.09999999999999998,-2.104651162790688,-0.023809523809523836
2014-15,21401175,ORL,TOR,0,0.0,0,1.0,1.0,0.0,-7.0,-0.09999999999999998,-8.499999999999986,-0.19878183831672208
2014-15,21401179,DET,IND,0,0.0,0,1.0,1.0,0.0,-1.5,0.09999999999999998,-1.211764705882345,0.12735326688815057
2014-15,21401180,NYK,MIL,0,0.0,0,1.0,1.0,0.0,-10.2,-0.30000000000000004,-8.599999999999994,-0.1566998892580288
2014-15,21401178,CLE,BOS,0,0.0,0,1.0,1.0,0.0,6.1000000000000005,0.20000000000000007,5.025034199726406,0.3150609080841639
2014-15,21401174,GSW,POR,1,0.0,1,1.0,0.0,1.0,2.1999999999999993,0.10000000000000009,5.11422708618332,0.44999999999999996
2014-15,21401173,MIA,CHI,0,0.0,1,1.0,0.0,1.0,-14.5,-0.3,-4.976744186046503,-0.04653679653679654
2014-15,21401166,MEM,NOP,1,0.0,1,3.0,0.0,3.0,-4.3,0.0,1.121988795518206,0.30516165626772546
2014-15,21401172,POR,MIN,1,0.0,1,1.0,0.0,1.0,13.0,0.39999999999999997,12.083333333333343,0.5476190476190477
