gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022100212,1610612746,LA,Clippers,LAC,clippers,240:00,490.7,98.1,429.9,86.0,60.8,12.2,0.432,0.76,11.9,0.224,0.855,0.558,19.444,19.4,0.506,0.56,1.0,0.966,21.5,107.5,89.58,108.0,0.552
0022100212,1610612759,San Antonio,Spurs,SAS,spurs,240:00,429.9,86.0,490.7,98.1,-60.8,-12.2,0.634,1.63,18.4,0.145,0.776,0.442,14.953,15.0,0.458,0.469,1.0,0.991,21.5,107.5,89.58,107.0,0.448
0021500121,1610612743,Denver,Nuggets,DEN,nuggets,240:00,592.0,118.4,579.5,115.9,12.4,2.5,0.692,1.93,20.6,0.409,0.676,0.531,16.092,16.1,0.544,0.575,1.0,1.0,17.5,87.5,72.92,87.0,0.527
0021500121,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,579.5,115.9,592.0,118.4,-12.4,-2.5,0.619,1.53,20.8,0.324,0.591,0.469,19.318,19.3,0.595,0.615,1.0,0.99,17.5,87.5,72.92,88.0,0.473
0022100006,1610612761,Toronto,Raptors,TOR,raptors,240:00,387.9,77.6,462.3,92.5,-74.4,-14.9,0.467,0.74,9.9,0.304,0.8,0.5,17.757,17.8,0.345,0.389,1.0,0.984,21.3,106.5,88.75,107.0,0.3
0022100006,1610612764,Washington,Wizards,WAS,wizards,240:00,462.3,92.5,387.9,77.6,74.4,14.9,0.556,0.91,14.8,0.2,0.696,0.5,20.755,20.8,0.475,0.53,1.0,0.983,21.3,106.5,88.75,106.0,0.7
0021500494,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,479.4,95.9,428.6,85.7,50.8,10.2,0.515,1.42,13.1,0.281,0.707,0.496,12.371,12.4,0.408,0.466,1.0,0.973,19.5,97.5,81.25,97.0,0.554
0021500494,1610612755,Philadelphia,76ers,PHI,sixers,240:00,428.6,85.7,479.4,95.9,-50.8,-10.2,0.677,1.31,15.7,0.293,0.719,0.504,16.327,16.3,0.393,0.442,1.0,0.991,19.5,97.5,81.25,98.0,0.446
0011700068,1610612755,Philadelphia,76ers,PHI,sixers,240:00,526.5,105.3,420.4,84.1,106.2,21.2,0.643,1.69,19.3,0.109,0.827,0.49,14.159,14.2,0.544,0.587,1.0,1.035,22.6,113.0,94.17,113.0,0.628
0011700068,1610612748,Miami,Heat,MIA,heat,240:00,420.4,84.1,526.5,105.3,-106.2,-21.2,0.657,1.15,16.9,0.173,0.891,0.51,17.699,17.7,0.42,0.476,1.0,1.053,22.6,113.0,94.17,113.0,0.372
0022300026,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,690.7,138.1,545.9,109.2,144.8,29.0,0.638,1.58,21.0,0.444,0.676,0.596,19.588,19.6,0.716,0.732,1.0,0.973,19.5,97.5,81.25,97.0,0.652
0022300026,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,545.9,109.2,690.7,138.1,-144.8,-29.0,0.718,3.11,18.9,0.324,0.556,0.404,9.184,9.2,0.462,0.481,1.0,0.975,19.5,97.5,81.25,98.0,0.348
0022100035,1610612751,Brooklyn,Nets,BKN,nets,240:00,465.7,93.1,549.5,109.9,-83.8,-16.8,0.474,1.06,14.0,0.2,0.731,0.471,16.667,16.7,0.489,0.515,1.0,0.982,20.3,101.5,84.58,102.0,0.423
0022100035,1610612766,Charlotte,Hornets,CHA,hornets,240:00,549.5,109.9,465.7,93.1,83.8,16.8,0.605,2.17,18.6,0.269,0.8,0.529,11.881,11.9,0.511,0.542,1.0,1.0,20.3,101.5,84.58,101.0,0.577
0022100788,1610612765,Detroit,Pistons,DET,pistons,240:00,479.4,95.9,531.3,106.3,-51.9,-10.4,0.529,1.64,12.6,0.384,0.771,0.537,11.34,11.3,0.375,0.412,1.0,0.976,19.3,96.5,80.42,97.0,0.348
0022100788,1610612738,Boston,Celtics,BOS,celtics,240:00,531.3,106.3,479.4,95.9,51.9,10.4,0.622,1.64,17.7,0.229,0.616,0.463,14.583,14.6,0.506,0.548,1.0,0.991,19.3,96.5,80.42,96.0,0.652
0021600408,1610612755,Philadelphia,76ers,PHI,sixers,240:00,524.3,104.9,519.4,103.9,4.9,1.0,0.605,1.35,16.4,0.0,0.766,0.0,16.505,16.5,0.5,0.55,1.0,0.991,20.6,103.0,85.83,103.0,0.492
0021600408,1610612751,Brooklyn,Nets,BKN,nets,240:00,519.4,103.9,524.3,104.9,-4.9,-1.0,0.722,1.63,18.8,0.234,0.0,0.0,15.534,15.5,0.519,0.565,1.0,1.0,20.6,103.0,85.83,103.0,0.508
0021800437,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,535.7,107.1,666.7,133.3,-131.0,-26.2,0.683,2.33,20.3,0.255,0.667,0.441,12.245,12.2,0.534,0.55,1.0,0.982,19.4,97.0,80.83,98.0,0.385
0021800437,1610612755,Philadelphia,76ers,PHI,sixers,240:00,666.7,133.3,535.7,107.1,131.0,26.2,0.627,2.91,22.5,0.333,0.745,0.559,11.458,11.5,0.621,0.641,1.0,0.991,19.4,97.0,80.83,96.0,0.615
0021500958,1610612744,Golden State,Warriors,GSW,warriors,240:00,605.3,121.1,489.6,97.9,115.7,23.1,0.75,2.4,25.7,0.0,0.647,0.0,15.789,15.8,0.649,0.65,1.0,0.99,19.1,95.5,79.58,95.0,0.637
0021500958,1610612762,Utah,Jazz,UTA,jazz,240:00,489.6,97.9,605.3,121.1,-115.7,-23.1,0.656,1.05,15.7,0.353,0.0,0.0,20.833,20.8,0.456,0.507,1.0,0.965,19.1,95.5,79.58,96.0,0.363
0021500409,1610612743,Denver,Nuggets,DEN,nuggets,240:00,637.8,127.6,677.1,135.4,-39.3,-7.9,0.578,4.33,18.7,0.34,0.744,0.511,6.122,6.1,0.557,0.591,1.0,0.982,19.4,97.0,80.83,98.0,0.461
0021500409,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,677.1,135.4,637.8,127.6,39.3,7.9,0.545,2.4,18.5,0.256,0.66,0.489,10.417,10.4,0.635,0.683,1.0,1.0,19.4,97.0,80.83,96.0,0.539
0021500139,1610612764,Washington,Wizards,WAS,wizards,240:00,534.7,106.9,495.0,99.0,39.7,7.9,0.744,2.64,21.2,0.0,0.846,0.0,10.891,10.9,0.542,0.572,1.0,0.972,20.1,100.5,83.75,101.0,0.569
0021500139,1610612753,Orlando,Magic,ORL,magic,240:00,495.0,99.0,534.7,106.9,-39.7,-7.9,0.5,1.58,15.0,0.154,0.0,0.0,12.0,12.0,0.46,0.507,1.0,1.0,20.1,100.5,83.75,100.0,0.431
0021500087,1610612755,Philadelphia,76ers,PHI,sixers,240:00,505.2,101.0,552.6,110.5,-47.4,-9.5,0.667,1.41,17.8,0.306,0.681,0.49,17.708,17.7,0.519,0.53,1.0,0.964,19.1,95.5,79.58,96.0,0.43
0021500087,1610612753,Orlando,Magic,ORL,magic,240:00,552.6,110.5,505.2,101.0,47.4,9.5,0.615,1.85,17.9,0.319,0.694,0.51,13.684,13.7,0.506,0.561,1.0,0.973,19.1,95.5,79.58,95.0,0.57
0021900532,1610612744,Golden State,Warriors,GSW,warriors,240:00,514.9,103.0,549.5,109.9,-34.7,-6.9,0.788,1.86,18.6,0.255,0.756,0.478,13.861,13.9,0.47,0.541,1.0,0.982,20.2,101.0,84.17,101.0,0.475
0021900532,1610612765,Detroit,Pistons,DET,pistons,240:00,549.5,109.9,514.9,103.0,34.7,6.9,0.558,1.14,17.8,0.244,0.745,0.522,20.792,20.8,0.584,0.616,1.0,0.982,20.2,101.0,84.17,101.0,0.525
0021900629,1610612737,Atlanta,Hawks,ATL,hawks,240:00,504.9,101.0,660.2,132.0,-155.3,-31.1,0.45,0.9,13.0,0.333,0.622,0.451,19.608,19.6,0.484,0.517,1.0,0.983,20.5,102.5,85.42,102.0,0.315
0021900629,1610612765,Detroit,Pistons,DET,pistons,240:00,660.2,132.0,504.9,101.0,155.3,31.1,0.608,1.72,21.1,0.378,0.667,0.549,17.476,17.5,0.68,0.701,1.0,0.974,20.5,102.5,85.42,103.0,0.685
0041900205,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,474.7,94.9,525.5,105.1,-50.8,-10.2,0.606,1.82,14.8,0.266,0.789,0.461,11.111,11.1,0.412,0.459,1.0,0.983,19.7,98.5,82.08,99.0,0.381
0041900205,1610612748,Miami,Heat,MIA,heat,240:00,525.5,105.1,474.7,94.9,50.8,10.2,0.6,0.95,16.5,0.211,0.734,0.539,22.449,22.4,0.555,0.616,1.0,0.991,19.7,98.5,82.08,98.0,0.619
0022000308,1610612752,New York,Knicks,NYK,knicks,240:00,625.0,125.0,686.2,137.2,-61.2,-12.2,0.512,2.63,16.7,0.271,0.711,0.465,8.696,8.7,0.541,0.591,1.0,0.99,18.6,93.0,77.5,92.0,0.426
0022000308,1610612746,LA,Clippers,LAC,clippers,240:00,686.2,137.2,625.0,125.0,61.2,12.2,0.591,3.71,19.8,0.289,0.729,0.535,7.447,7.4,0.648,0.691,1.0,0.962,18.6,93.0,77.5,94.0,0.574
0022000107,1610612754,Indiana,Pacers,IND,pacers,240:00,570.0,114.0,529.7,105.9,40.3,8.1,0.5,1.5,15.3,0.32,0.738,0.511,14.0,14.0,0.522,0.568,1.0,0.948,20.1,100.5,83.75,100.0,0.517
