season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta,season_start_year,split,Game_Type
2014-15,41400101,ATL,BKN,1,0.0,0,3.0,3.0,0.0,6.8,-0.0999999999999999,7.588993871297248,0.3757928118393235,2014,train,playoff
2014-15,41400121,CHI,MIL,1,0.0,0,2.0,2.0,0.0,7.9,0.1999999999999999,2.7650436953807684,0.2077294685990338,2014,train,playoff
2014-15,41400151,HOU,DAL,1,0.0,0,2.0,2.0,0.0,7.1000000000000005,0.1999999999999999,0.4333333333333229,0.1999999999999999,2014,train,playoff
2014-15,41400141,GSW,NOP,1,0.0,0,2.0,2.0,0.0,1.2000000000000002,0.1,8.76204744069912,0.5227272727272727,2014,train,playoff
2014-15,41400131,TOR,WAS,0,0.0,0,2.0,2.0,0.0,2.5,0.0999999999999999,2.75555555555556,0.2666666666666666,2014,train,playoff
2014-15,21401219,HOU,UTA,1,0.0,0,1.0,1.0,0.0,-2.8,0.0,1.842696629213492,0.3055555555555556,2014,train,regular
2014-15,21401218,DAL,POR,1,0.0,0,1.0,1.0,0.0,-8.2,0.0,-1.917773237997963,0.159090909090909,2014,train,regular
2014-15,21401224,BKN,ORL,1,0.0,0,1.0,1.0,0.0,2.7,0.3,2.514658401136515,0.1590909090909091,2014,train,regular
2014-15,21401220,MEM,IND,1,0.0,1,1.0,0.0,1.0,-8.2,-0.2999999999999999,2.59193054136874,0.3863636363636363,2014,train,regular
2014-15,21401229,GSW,DEN,1,0.0,0,1.0,1.0,0.0,10.2,0.5,13.797752808988776,0.692618806875632,2014,train,regular
2014-15,21401217,CHI,ATL,1,0.0,0,1.0,1.0,0.0,2.2,0.0999999999999999,-2.419050051072517,0.0308080808080808,2014,train,regular
2014-15,21401225,CLE,WAS,1,0.0,1,1.0,0.0,1.0,0.6999999999999997,0.0999999999999999,3.9951481103166486,0.3237373737373737,2014,train,regular
2014-15,21401223,NOP,SAS,1,0.0,0,1.0,2.0,-1.0,-11.6,-0.3,-3.98863636363636,0.159090909090909,2014,train,regular
2014-15,21401228,TOR,CHA,1,1.0,0,0.0,1.0,-1.0,11.7,0.3,6.404494382022477,0.3409090909090909,2014,train,regular
2014-15,21401227,PHI,MIA,0,0.0,0,1.0,1.0,0.0,-0.7999999999999998,-0.1999999999999999,-6.213483146067404,-0.1103896103896103,2014,train,regular
